物件名,住所,最寄り駅,築年数,価格,間取り,面積,バルコニーの広さ,都県,市区,築年月数,価格(万円),不動産単価（万／坪）,路線,駅名,緯度,経度
プライムパークス品川シーサイドザ・タワー,東京都品川区東品川４,りんかい線「品川シーサイド」徒歩3分,2019年1月,300000000.0,3LDK,111.18,13.0,東京,品川,83,30000.0,890,りんかい線,品川シーサイド,35.6089355,139.7485979
白金ザ・スカイ,東京都港区白金１,東京メトロ南北線「白金高輪」徒歩3分,2023年2月,308000000.0,2LDK,68.03,7.4,東京,港,34,30800.0,1494,東京メトロ南北線,白金高輪,35.6449583,139.7339083
セントラルパークタワー ラ・トゥール新宿,東京都新宿区西新宿６,都営大江戸線「都庁前」徒歩5分,2010年2月,309800000.0,2LDK,77.55,4.03,東京,新宿,190,30980.0,1318,都営大江戸線,都庁前,35.6929304,139.6904993
勝どきザ・タワー,東京都中央区勝どき５,都営大江戸線「勝どき」徒歩8分,2016年11月,318000000.0,2LDK+S（納戸）,100.05,0.0,東京,中央,109,31800.0,1049,都営大江戸線,勝どき,35.657516,139.7709587
勝どきザ・タワー,東京都中央区勝どき５,都営大江戸線「勝どき」徒歩8分,2016年11月,318000000.0,2LDK+S（納戸）,100.05,0.0,東京,中央,109,31800.0,1049,都営大江戸線,勝どき,35.657516,139.7709587
勝どきザ・タワー,東京都中央区勝どき５-３－１,都営大江戸線「勝どき」徒歩9分,2016年11月,318000000.0,2LDK+S（納戸）,100.05,0.0,東京,中央,109,31800.0,1049,都営大江戸線,勝どき,35.65665329999999,139.7725581
クラッシィタワー新宿御苑,東京都新宿区四谷４-29,東京メトロ丸ノ内線「新宿御苑前」徒歩4分,2024年10月,320000000.0,2LDK,74.92,6.5,東京,新宿,14,32000.0,1410,東京メトロ丸ノ内線,新宿御苑前,35.6883083,139.7145239
勝どきザ・タワー,東京都中央区勝どき５-3-1,都営大江戸線「勝どき」徒歩8分,2006年11月,328000000.0,2LDK+S（納戸）,100.05,0.0,東京,中央,229,32800.0,1082,都営大江戸線,勝どき,35.65665329999999,139.7725581
ブランズタワー芝浦,東京都港区芝浦２,ＪＲ山手線「田町」徒歩9分,2021年8月,328000000.0,3LDK,80.07,14.26,東京,港,52,32800.0,1352,ＪＲ山手線,田町,35.6446055,139.7530694
東京パークタワー,東京都千代田区神田神保町１,都営三田線「神保町」徒歩1分,2003年1月,328000000.0,2LDK,86.3,22.3,東京,千代田,275,32800.0,1254,都営三田線,神保町,35.6953781,139.7594578
クラッシィタワー新宿御苑,東京都新宿区四谷４,東京メトロ丸ノ内線「新宿御苑前」徒歩4分,2024年11月,335000000.0,3LDK,79.14,0.0,東京,新宿,13,33500.0,1397,東京メトロ丸ノ内線,新宿御苑前,35.6894241,139.7160301
恵比寿ガーデンテラス壱番館,東京都目黒区三田１,ＪＲ山手線「恵比寿」徒歩10分,1994年7月,348000000.0,2LDK+S（納戸）,84.22,18.48,東京,目黒,377,34800.0,1364,ＪＲ山手線,恵比寿,35.6407158,139.7147533
セントラルパークタワーラ・トゥール新宿,東京都新宿区西新宿６,都営大江戸線「都庁前」徒歩5分,2010年2月,348000000.0,2LDK,77.39,4.03,東京,新宿,190,34800.0,1484,都営大江戸線,都庁前,35.6929304,139.6904993
恵比寿ガーデンテラス壱番館,東京都目黒区三田１,ＪＲ山手線「恵比寿」徒歩9分,1994年7月,348000000.0,2LDK+S（納戸）,84.22,18.48,東京,目黒,377,34800.0,1364,ＪＲ山手線,恵比寿,35.6407158,139.7147533
白金ザ・スカイ,東京都港区白金１,東京メトロ南北線「白金高輪」徒歩3分,2023年2月,358000000.0,2LDK,71.81,7.0,東京,港,34,35800.0,1645,東京メトロ南北線,白金高輪,35.6449583,139.7339083
東京タイムズタワー,東京都千代田区外神田４,ＪＲ山手線「秋葉原」徒歩5分,2004年9月,358000000.0,2LDK,92.29,11.13,東京,千代田,255,35800.0,1280,ＪＲ山手線,秋葉原,35.7005017,139.7722367
白金ザ・スカイ,東京都港区白金１,東京メトロ南北線「白金高輪」徒歩3分,2023年2月,358000000.0,2LDK,76.0,7.0,東京,港,34,35800.0,1554,東京メトロ南北線,白金高輪,35.6449583,139.7339083
シティタワー武蔵小山,東京都品川区小山３,東急目黒線「武蔵小山」徒歩2分,2021年4月,358000000.0,3LDK,88.95,20.79,東京,品川,56,35800.0,1328,東急目黒線,武蔵小山,35.6205453,139.7045399
ザ・レジデンス三田,東京都港区三田２,都営大江戸線「赤羽橋」徒歩6分,2014年11月,360000000.0,2LDK,74.74,6.8,東京,港,133,36000.0,1590,都営大江戸線,赤羽橋,35.6494981,139.7409333
【予約制内覧会実施】白金ザ・スカイE棟,東京都港区白金１-2-1,東京メトロ南北線「白金高輪」徒歩3分,2023年2月,378000000.0,2LDK,71.81,7.0,東京,港,34,37800.0,1737,東京メトロ南北線,白金高輪,35.6460844,139.7351057
代官山アドレスタワー,東京都渋谷区代官山町,東急東横線「代官山」徒歩1分,2000年8月,378000000.0,3LDK,102.72,12.74,東京,渋谷,304,37800.0,1214,東急東横線,代官山,35.6505465,139.7042207
シティタワー高輪,東京都港区高輪１,東京メトロ南北線「白金高輪」徒歩7分,2004年1月,385000000.0,2LDK+S（納戸）,129.68,14.54,東京,港,263,38500.0,980,東京メトロ南北線,白金高輪,35.6403663,139.7339083
ブランズタワー豊洲,東京都江東区豊洲５-1-13,東京メトロ有楽町線「豊洲」徒歩4分,2021年10月,390000000.0,3LDK,103.06,12.47,東京,江東,50,39000.0,1249,東京メトロ有楽町線,豊洲,35.6520776,139.7941746
プラウドタワー渋谷,東京都渋谷区渋谷３,ＪＲ山手線「渋谷」徒歩7分,2025年3月,393800000.0,2LDK,70.39,10.98,東京,渋谷,9,39380.0,1846,ＪＲ山手線,渋谷,35.6566382,139.7058165
白金ザ・スカイEAST,東京都港区白金１,都営三田線「白金高輪」徒歩4分,2023年2月,398000000.0,2LDK,81.25,7.0,東京,港,34,39800.0,1616,都営三田線,白金高輪,35.6449583,139.7339083
コスモポリス品川,東京都港区港南３,ＪＲ山手線「品川」徒歩10分,2005年2月,398000000.0,2LDK,135.99,29.98,東京,港,250,39800.0,966,ＪＲ山手線,品川,35.633247,139.7505142
ザ・パークハウス西麻布レジデンス,東京都港区西麻布４,東京メトロ日比谷線「広尾」徒歩6分,2014年5月,398000000.0,2LDK,85.87,4.72,東京,港,139,39800.0,1530,東京メトロ日比谷線,広尾,35.6581991,139.7211376
パークシティ中央湊ザ・タワー,東京都中央区湊２-15-14,東京メトロ日比谷線「八丁堀」徒歩6分,2017年11月,420000000.0,1LDK+S（納戸）,94.8,23.38,東京,中央,97,42000.0,1462,東京メトロ日比谷線,八丁堀,35.6712196,139.7806244
ザ・パークハウス白金二丁目タワー,東京都港区白金２,東京メトロ南北線「白金台」徒歩5分,2018年7月,428000000.0,2LDK,88.26,11.79,東京,港,89,42800.0,1600,東京メトロ南北線,白金台,35.6416377,139.7313539
白金ザ・スカイ　EAST,東京都港区白金１,東京メトロ南北線「白金高輪」徒歩3分,2023年2月,430000000.0,3LDK,83.41,7.0,東京,港,34,43000.0,1701,東京メトロ南北線,白金高輪,35.6449583,139.7339083
パークコート麻布十番ザ・タワー,東京都港区三田１,東京メトロ南北線「麻布十番」徒歩3分,2010年5月,435000000.0,2LDK,95.97,3.92,東京,港,187,43500.0,1496,東京メトロ南北線,麻布十番,35.6537721,139.741572
パークコート虎ノ門愛宕タワー,東京都港区虎ノ門３-14－1,東京メトロ日比谷線「神谷町」徒歩4分,2008年4月,438000000.0,1LDK,79.85,3.61,東京,港,212,43800.0,1810,東京メトロ日比谷線,神谷町,35.6639628,139.7476789
六本木ヒルズレジデンスＢ棟,東京都港区六本木６,東京メトロ日比谷線「六本木」徒歩6分,2003年4月,447800000.0,1LDK+S（納戸）,64.56,11.0,東京,港,272,44780.0,2289,東京メトロ日比谷線,六本木,35.6606389,139.7300768
パークコート神宮北参道ザ・タワー,東京都渋谷区千駄ヶ谷４-6-8,東京メトロ副都心線「北参道」徒歩1分,2023年1月,448000000.0,3LDK,90.57,7.36,東京,渋谷,35,44800.0,1632,東京メトロ副都心線,北参道,35.6802369,139.7047582
ブリリアタワー浜離宮,東京都港区海岸１,新交通ゆりかもめ「竹芝」徒歩2分,2023年9月,458000000.0,2LDK,83.1,8.4,東京,港,27,45800.0,1819,新交通ゆりかもめ,竹芝,35.6553975,139.7613745
青山パークタワー,東京都渋谷区渋谷１,ＪＲ山手線「渋谷」徒歩8分,2003年3月,498000000.0,2LDK+2S（納戸）,102.55,7.75,東京,渋谷,273,49800.0,1603,ＪＲ山手線,渋谷,35.66135020000001,139.7032633
ＴＨＥ　ＲＯＰＰＯＮＧＩ　ＴＯＫＹＯ,東京都港区六本木３,東京メトロ日比谷線「六本木」徒歩3分,2011年11月,498000000.0,2LDK,96.06,9.01,東京,港,169,49800.0,1711,東京メトロ日比谷線,六本木,35.6632012,139.7364627
東京ツインパークス・レフトウィング,東京都港区東新橋１,都営大江戸線「汐留」徒歩3分,2002年9月,498000000.0,2LDK,109.39,0.0,東京,港,279,49800.0,1502,都営大江戸線,汐留,35.664582,139.7613745
プラウドタワー千代田富士見レジデンス,東京都千代田区富士見１,東京メトロ有楽町線「飯田橋」徒歩4分,2014年2月,528000000.0,2LDK,96.6,24.14,東京,千代田,142,52800.0,1804,東京メトロ有楽町線,飯田橋,35.6971385,139.7466817
パークコート神宮北参道　ザ　タワー,東京都渋谷区千駄ヶ谷４,東京メトロ副都心線「北参道」徒歩3分,2023年1月,550000000.0,2LDK,97.14,5.83,東京,渋谷,35,55000.0,1868,東京メトロ副都心線,北参道,35.6791468,139.709008
SAION SAKURAZAKA　14階,東京都港区赤坂１,東京メトロ銀座線「溜池山王」徒歩2分,2009年12月,580000000.0,2LDK,107.48,0.0,東京,港,192,58000.0,1781,東京メトロ銀座線,溜池山王,35.6692065,139.7428494
グランスイート麻布台ヒルトップタワー,東京都港区麻布台３,東京メトロ南北線「六本木一丁目」徒歩7分,2014年1月,613000000.0,2LDK,89.12,6.48,東京,港,143,61300.0,2270,東京メトロ南北線,六本木一丁目,35.6601113,139.7380593
プラウドタワー渋谷,東京都渋谷区渋谷３,ＪＲ山手線「渋谷」徒歩9分,2025年3月,619800000.0,2LDK,98.08,11.86,東京,渋谷,9,61980.0,2085,ＪＲ山手線,渋谷,35.6566382,139.7058165
元麻布ヒルズフォレストタワー,東京都港区元麻布１,都営大江戸線「麻布十番」徒歩8分,2002年5月,640000000.0,2LDK+S（納戸）,105.96,5.28,東京,港,283,64000.0,1993,都営大江戸線,麻布十番,35.6536293,139.7326311
グランスイート虎ノ門,東京都港区虎ノ門１,東京メトロ日比谷線「虎ノ門ヒルズ」徒歩1分,2007年4月,698000000.0,2LDK,111.96,26.79,東京,港,224,69800.0,2057,東京メトロ日比谷線,虎ノ門ヒルズ,35.668325,139.7492367
アークタワーズウエスト,東京都港区六本木１,東京メトロ南北線「六本木一丁目」徒歩3分,1986年3月,698000000.0,3LDK,129.76,0.0,東京,港,477,69800.0,1775,東京メトロ南北線,六本木一丁目,35.6647384,139.7402946
パークコート虎ノ門愛宕タワー,東京都港区虎ノ門３,東京メトロ日比谷線「神谷町」徒歩4分,2008年4月,698000000.0,3LDK,131.72,12.58,東京,港,212,69800.0,1749,東京メトロ日比谷線,神谷町,35.6642718,139.747001
パークコート赤坂ザ・タワー,東京都港区赤坂４,東京メトロ千代田線「赤坂」徒歩8分,2009年6月,698000000.0,2LDK,130.96,17.11,東京,港,198,69800.0,1759,東京メトロ千代田線,赤坂,35.6748007,139.7339083
パークコート赤坂檜町ザタワー,東京都港区赤坂９,東京メトロ千代田線「乃木坂」徒歩3分,2018年2月,768000000.0,2LDK,78.5,19.23,東京,港,94,76800.0,3229,東京メトロ千代田線,乃木坂,35.6668899,139.7313539
パークコート渋谷ザタワー,東京都渋谷区宇田川町,ＪＲ山手線「渋谷」徒歩10分,2020年7月,798000000.0,1LDK,143.42,13.86,東京,渋谷,65,79800.0,1836,ＪＲ山手線,渋谷,35.661594,139.6981574
元麻布ヒルズフォレストタワー,東京都港区元麻布１-3-1,東京メトロ南北線「麻布十番」徒歩8分,2002年5月,838000000.0,2LDK,127.69,0.0,東京,港,283,83800.0,2166,東京メトロ南北線,麻布十番,35.6538432,139.7319126
THE COURT神宮外苑,東京都渋谷区神宮前２,東京メトロ銀座線「外苑前」徒歩8分,2020年1月,1000000000.0,3LDK,108.69,42.97,東京,渋谷,71,100000.0,3036,東京メトロ銀座線,外苑前,35.6736057,139.7109231
パークコート青山ザタワー,東京都港区南青山２,東京メトロ銀座線「青山一丁目」徒歩3分,2017年12月,1050000000.0,3LDK,135.21,0.0,東京,港,96,105000.0,2563,東京メトロ銀座線,青山一丁目,35.6652799,139.723053
THE COURT神宮外苑,東京都渋谷区神宮前２,東京メトロ銀座線「外苑前」徒歩8分,2020年1月,1058000000.0,2LDK,130.36,27.2,東京,渋谷,71,105800.0,2678,東京メトロ銀座線,外苑前,35.6736057,139.7109231
パークコート虎ノ門愛宕タワー,東京都港区虎ノ門３,東京メトロ日比谷線「神谷町」徒歩4分,2006年11月,1400000000.0,2LDK,168.23,57.82,東京,港,229,140000.0,2746,東京メトロ日比谷線,神谷町,35.6642718,139.747001
西戸山タワーホウムズ サウスタワーアネックス,東京都新宿区百人町３,ＪＲ山手線「新大久保」徒歩7分,1988年1月,9800000.0,1RM,12.99,0.0,東京,新宿,455,980.0,249,ＪＲ山手線,新大久保,35.7063302,139.6981574
東京蒲田スクエアタワー,東京都大田区蒲田４,京急本線「京急蒲田」徒歩3分,2008年6月,28600000.0,1K,22.2,3.3,東京,大田,210,2860.0,425,京急本線,京急蒲田,35.5605931,139.7211376
東京蒲田スクエアタワー,東京都大田区蒲田４,京急本線「京急蒲田」徒歩3分,2008年6月,28600000.0,1K,22.2,0.0,東京,大田,210,2860.0,425,京急本線,京急蒲田,35.5605931,139.7211376
東京蒲田スクエアタワー,東京都大田区蒲田４,京急本線「京急蒲田」徒歩3分,2008年6月,28600000.0,1K,22.2,3.3,東京,大田,210,2860.0,425,京急本線,京急蒲田,35.5605931,139.7211376
東京蒲田スクエアタワー,東京都大田区蒲田４,ＪＲ京浜東北線「蒲田」徒歩8分,2008年6月,28900000.0,1K,22.2,3.3,東京,大田,210,2890.0,430,ＪＲ京浜東北線,蒲田,35.5605931,139.7211376
サンシティＤ棟,東京都板橋区中台３,都営三田線「志村三丁目」徒歩12分,1979年10月,31800000.0,2LDK,57.62,7.38,東京,板橋,554,3180.0,182,都営三田線,志村三丁目,35.7739657,139.679652
ツインタワー住利住吉館,東京都江東区住吉１,東京メトロ半蔵門線「住吉」徒歩4分,1994年10月,48800000.0,2DK,46.33,7.22,東京,江東,374,4880.0,348,東京メトロ半蔵門線,住吉,35.6886665,139.8121885
清新北ハイツ５号棟,東京都江戸川区清新町１,東京メトロ東西線「西葛西」徒歩10分,1983年3月,50800000.0,3LDK,74.48,19.18,東京,江戸川,513,5080.0,225,東京メトロ東西線,西葛西,35.6623785,139.8534469
スカイグランデ汐留,東京都港区海岸１,ＪＲ山手線「浜松町」徒歩2分,2005年7月,52800000.0,1DK,26.31,6.16,東京,港,245,5280.0,662,ＪＲ山手線,浜松町,35.6553975,139.7613745
ヴィナシス金町タワーレジデンス,東京都葛飾区金町６,ＪＲ常磐線「金町」徒歩3分,2009年7月,53500000.0,1LDK,44.86,1.0,東京,葛飾,197,5350.0,394,ＪＲ常磐線,金町,35.7690373,139.8710463
ツインタワー住利毛利館,東京都江東区毛利１,東京メトロ半蔵門線「住吉」徒歩4分,1994年10月,54800000.0,1LDK,46.33,7.22,東京,江東,374,5480.0,390,東京メトロ半蔵門線,住吉,35.6921458,139.8144266
シティーフロントタワー,東京都中央区佃１,東京メトロ有楽町線「月島」徒歩9分,1991年8月,58000000.0,1RM,40.02,0.0,東京,中央,412,5800.0,478,東京メトロ有楽町線,月島,35.6690135,139.7824618
晴海アイランドトリトンスクエアビュータワー,東京都中央区晴海１,東京メトロ有楽町線「月島」徒歩7分,1998年2月,59800000.0,1LDK,39.4,4.93,東京,中央,334,5980.0,501,東京メトロ有楽町線,月島,35.6597032,139.7850184
